antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset(['blankets']),frozenset(['iron']),0.016823034616628922,0.13749595600129408,0.004529278550630864,0.2692307692307693,1.9580995475113125,0.002216179323174607,1.180268691787703
frozenset(['iron']),frozenset(['blankets']),0.13749595600129408,0.016823034616628922,0.004529278550630864,0.03294117647058824,1.9580995475113123,0.002216179323174607,1.016667178316138
frozenset(['sletias']),frozenset(['knives']),0.05596894208993853,0.041734066645098676,0.004852798447104497,0.08670520231213873,2.0775641887350447,0.002516986887867334,1.0492405472809996
frozenset(['knives']),frozenset(['sletias']),0.041734066645098676,0.05596894208993853,0.004852798447104497,0.11627906976744184,2.0775641887350447,0.002516986887867334,1.0682456707929642
frozenset(['niconees']),frozenset(['tapseils']),0.05402782271109673,0.0459398252992559,0.01649951472015529,0.30538922155688625,6.647592139664334,0.014017485983508335,1.3735176653019334
frozenset(['tapseils']),frozenset(['niconees']),0.0459398252992559,0.05402782271109673,0.01649951472015529,0.3591549295774648,6.647592139664334,0.014017485983508335,1.47613240851675
frozenset(['allejars']),frozenset(['sletias']),0.01973471368489162,0.05596894208993853,0.008087997411840828,0.4098360655737705,7.322562304557946,0.006983466364449612,1.5996081814587153
frozenset(['sletias']),frozenset(['allejars']),0.05596894208993853,0.01973471368489162,0.008087997411840828,0.14450867052023122,7.322562304557946,0.006983466364449612,1.145850638733201
frozenset(['sletias']),frozenset(['brawls']),0.05596894208993853,0.03008735037204788,0.008735037204788094,0.15606936416184972,5.187208651873951,0.007051080034175256,1.149280057435861
frozenset(['brawls']),frozenset(['sletias']),0.03008735037204788,0.05596894208993853,0.008735037204788094,0.29032258064516125,5.18720865187395,0.007051080034175256,1.330225581600541
